GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
107986712	2.52e-06	5.39e-07	0.491	5.011785	2.459386	32.73	LOC107986712	
692196	2.53e-06	5.41e-07	0.345	-5.011276	-1.730619	29.76	SNORD76	small nucleolar RNA, C/D box 76
1192	2.53e-06	5.42e-07	0.365	-5.010951	-1.828709	2953.59	CLIC1	chloride intracellular channel 1
442523	2.53e-06	5.42e-07	0.707	5.010769	3.544345	28.19	DPY19L2P4	DPY19L2 pseudogene 4
107986838	2.54e-06	5.45e-07	0.556	-5.009921	-2.787915	49.85	LOC107986838	uncharacterized LOC107986838
105374618	2.54e-06	5.45e-07	0.868	5.009687	4.34642	29.36	LOC105374618	uncharacterized LOC105374618
54487	2.54e-06	5.45e-07	0.185	-5.009702	-0.927752	493.49	DGCR8	DGCR8 microprocessor complex subunit
53405	2.55e-06	5.46e-07	0.607	5.009375	3.04239	41.03	CLIC5	chloride intracellular channel 5
101928177	2.55e-06	5.46e-07	0.913	5.009261	4.575153	4.77	LOC101928177	uncharacterized LOC101928177
284348	2.55e-06	5.47e-07	0.444	5.009187	2.222197	54.74	LYPD5	LY6/PLAUR domain containing 5
3176	2.55e-06	5.47e-07	0.491	5.009112	2.460511	868.5	HNMT	histamine N-methyltransferase
280636	2.55e-06	5.47e-07	0.184	-5.009089	-0.922518	526.66	SELENOH	selenoprotein H
107985036	2.56e-06	5.49e-07	1.211	5.00845	6.06427	8.05	LOC107985036	uncharacterized LOC107985036
166929	2.57e-06	5.51e-07	0.417	-5.007683	-2.086922	318.03	SGMS2	sphingomyelin synthase 2
440446	2.59e-06	5.55e-07	1.082	5.00613	5.41626	6.6	LINC02072	long intergenic non-protein coding RNA 2072
105374711	2.59e-06	5.56e-07	0.405	5.006059	2.025668	17.12	LOC105374711	uncharacterized LOC105374711
283284	2.59e-06	5.56e-07	0.437	5.005846	2.188047	56.31	IGSF22	immunoglobulin superfamily member 22
102723729	2.61e-06	5.59e-07	0.34	-5.004757	-1.701506	12.65	GPAT4-AS1	GPAT4 and GINS4 antisense RNA 1
54985	2.61e-06	5.60e-07	0.302	-5.004406	-1.509553	316.55	HCFC1R1	host cell factor C1 regulator 1
112268195	2.61e-06	5.61e-07	0.304	-5.004301	-1.522065	49.35	LOC112268195	
3217	2.61e-06	5.61e-07	0.758	5.004043	3.792551	48.64	HOXB7	homeobox B7
80148	2.62e-06	5.62e-07	0.205	-5.003937	-1.023695	369.72	SLC66A2	solute carrier family 66 member 2
140453	2.62e-06	5.62e-07	0.963	5.003731	4.818505	37.62	MUC17	mucin 17, cell surface associated
26259	2.63e-06	5.65e-07	0.178	-5.002656	-0.892512	568.21	FBXW8	F-box and WD repeat domain containing 8
101927711	2.63e-06	5.66e-07	0.878	5.002468	4.390182	10.92	LOC101927711	uncharacterized LOC101927711
80758	2.63e-06	5.66e-07	0.246	-5.002488	-1.23227	159.64	PRR7	proline rich 7, synaptic
114841035	2.63e-06	5.66e-07	0.185	-5.00245	-0.925762	163.62	LOC114841035	Uncharacterized protein LOC114841035
58986	2.64e-06	5.67e-07	0.32	-5.00215	-1.602623	670.53	PGAP6	post-GPI attachment to proteins 6
101929048	2.64e-06	5.68e-07	0.786	5.001926	3.933275	21.72	LOC101929048	uncharacterized LOC101929048
2108	2.64e-06	5.68e-07	0.207	-5.001891	-1.033992	834.43	ETFA	electron transfer flavoprotein subunit alpha
5303	2.65e-06	5.70e-07	0.187	-5.001267	-0.933388	137	PIN4	peptidylprolyl cis/trans isomerase, NIMA-interacting 4
26519	2.65e-06	5.71e-07	0.191	-5.000716	-0.957495	209.78	TIMM10	translocase of inner mitochondrial membrane 10
101929344	2.65e-06	5.71e-07	0.857	5.000671	4.287199	22.61	LINC01198	long intergenic non-protein coding RNA 1198
105379069	2.66e-06	5.72e-07	0.953	5.000555	4.764749	5.32	LINC02144	long intergenic non-protein coding RNA 2144
1495	2.66e-06	5.72e-07	0.241	-5.000453	-1.203567	6390.84	CTNNA1	catenin alpha 1
26038	2.66e-06	5.73e-07	0.786	5.000121	3.930249	382.81	CHD5	chromodomain helicase DNA binding protein 5
105371008	2.66e-06	5.73e-07	0.727	5.000148	3.633331	10.33	LINC02251	long intergenic non-protein coding RNA 2251
100847048	2.67e-06	5.76e-07	0.645	4.99901	3.225726	8.91	MIR5690	microRNA 5690
105378378	2.67e-06	5.76e-07	0.953	4.999011	4.763112	9.86	LOC105378378	uncharacterized LOC105378378
129852	2.68e-06	5.77e-07	0.476	4.998829	2.37772	18.33	C2orf73	chromosome 2 open reading frame 73
27349	2.68e-06	5.78e-07	0.199	-4.99846	-0.995356	143.71	MCAT	malonyl-CoA-acyl carrier protein transacylase
7080	2.69e-06	5.79e-07	1.147	4.997933	5.730185	8.21	NKX2-1	NK2 homeobox 1
107985481	2.69e-06	5.80e-07	0.208	4.997877	1.039774	182.44	LOC107985481	
107987103	2.69e-06	5.80e-07	0.648	4.997755	3.236477	8.43	LOC107987103	uncharacterized LOC107987103
78992	2.69e-06	5.80e-07	0.284	-4.997603	-1.4208	447.81	YIPF2	Yip1 domain family member 2
283238	2.69e-06	5.81e-07	1.226	4.99756	6.129211	8.39	SLC22A24	solute carrier family 22 member 24
105379301	2.70e-06	5.83e-07	0.982	4.996868	4.907815	7.71	LOC105379301	uncharacterized LOC105379301
2593	2.70e-06	5.83e-07	0.277	-4.996749	-1.385197	301.84	GAMT	guanidinoacetate N-methyltransferase
105378867	2.71e-06	5.84e-07	0.54	4.996434	2.696742	33.59	LOC105378867	uncharacterized LOC105378867
107986413	2.71e-06	5.84e-07	0.421	4.996453	2.101521	454.87	LOC107986413	
124274	2.71e-06	5.84e-07	1.126	4.996361	5.627016	7.56	GPR139	G protein-coupled receptor 139
57113	2.71e-06	5.85e-07	0.921	4.996104	4.602666	13.2	TRPC7	transient receptor potential cation channel subfamily C member 7
114088	2.71e-06	5.86e-07	0.482	4.995911	2.409302	3253.88	TRIM9	tripartite motif containing 9
642934	2.72e-06	5.88e-07	0.671	4.994966	3.350787	13.63	CERNA2	competing endogenous lncRNA 2 for microRNA let-7b
9211	2.72e-06	5.89e-07	0.619	4.99493	3.091821	177.03	LGI1	leucine rich glioma inactivated 1
53354	2.74e-06	5.92e-07	0.318	-4.993971	-1.588457	215.17	PANK1	pantothenate kinase 1
29127	2.75e-06	5.94e-07	0.297	-4.993242	-1.481755	834.25	RACGAP1	Rac GTPase activating protein 1
23636	2.75e-06	5.95e-07	0.228	-4.992857	-1.136101	927	NUP62	nucleoporin 62
160428	2.76e-06	5.96e-07	0.396	-4.992517	-1.978096	529.2	ALDH1L2	aldehyde dehydrogenase 1 family member L2
54888	2.76e-06	5.97e-07	0.172	-4.992157	-0.86052	722.86	NSUN2	NOP2/Sun RNA methyltransferase 2
9784	2.76e-06	5.98e-07	0.241	-4.99199	-1.203291	1412.62	SNX17	sorting nexin 17
56124	2.76e-06	5.98e-07	0.427	4.991939	2.131777	204.11	PCDHB12	protocadherin beta 12
101410534	2.77e-06	5.99e-07	0.826	4.991611	4.123201	15.01	DLGAP1-AS4	DLGAP1 antisense RNA 4
1804	2.77e-06	6.00e-07	0.625	4.991224	3.119571	1584.26	DPP6	dipeptidyl peptidase like 6
102724890	2.77e-06	6.00e-07	0.855	4.991101	4.265457	17.82	LINC02293	long intergenic non-protein coding RNA 2293
112268466	2.78e-06	6.02e-07	1.164	4.990618	5.806981	17.58	LOC112268466	
6502	2.78e-06	6.02e-07	0.247	-4.990454	-1.23329	668.55	SKP2	S-phase kinase associated protein 2
129607	2.79e-06	6.03e-07	0.481	4.990138	2.398084	244.44	CMPK2	cytidine/uridine monophosphate kinase 2
105373585	2.80e-06	6.07e-07	1.141	4.988843	5.690456	13.14	LOC105373585	uncharacterized LOC105373585
7936	2.81e-06	6.09e-07	0.196	-4.98845	-0.978135	701.03	NELFE	negative elongation factor complex member E
105375947	2.82e-06	6.10e-07	0.467	4.988049	2.330195	7.94	LOC105375947	translation initiation factor IF-2-like
105375484	2.82e-06	6.11e-07	1.138	4.987709	5.677985	7.95	LOC105375484	uncharacterized LOC105375484
79961	2.82e-06	6.12e-07	0.373	4.987511	1.860372	154.22	DENND2D	DENN domain containing 2D
51236	2.82e-06	6.12e-07	0.22	-4.987483	-1.095662	219.85	HGH1	HGH1 homolog
105378585	2.82e-06	6.12e-07	0.57	4.987359	2.845218	6.23	ANKRD65-AS1	ANKRD65 antisense RNA 1
5691	2.83e-06	6.13e-07	0.234	-4.987204	-1.166556	841.8	PSMB3	proteasome 20S subunit beta 3
220107	2.83e-06	6.14e-07	0.451	4.986853	2.250123	94.59	DLEU7	deleted in lymphocytic leukemia 7
105370169	2.83e-06	6.14e-07	0.878	4.986622	4.376062	12.5	LOC105370169	uncharacterized LOC105370169
100287205	2.83e-06	6.15e-07	1.14	4.986458	5.687009	6.18	USP17L12	ubiquitin specific peptidase 17 like family member 12
6122	2.84e-06	6.15e-07	0.237	-4.986375	-1.179553	6681.94	RPL3	ribosomal protein L3
799	2.84e-06	6.16e-07	0.837	4.986269	4.171638	16.66	CALCR	calcitonin receptor
26770	2.84e-06	6.16e-07	0.281	-4.986204	-1.402122	16.6	SNORD79	small nucleolar RNA, C/D box 79
8437	2.85e-06	6.18e-07	0.582	4.985366	2.900037	181.65	RASAL1	RAS protein activator like 1
79755	2.85e-06	6.19e-07	0.417	4.985116	2.080861	20.35	ZNF750	zinc finger protein 750
23184	2.86e-06	6.20e-07	0.178	-4.984843	-0.885481	767.66	MESD	mesoderm development LRP chaperone
1487	2.86e-06	6.22e-07	0.198	-4.98424	-0.984964	1630.77	CTBP1	C-terminal binding protein 1
79087	2.86e-06	6.22e-07	0.221	-4.98425	-1.103675	366.78	ALG12	ALG12 alpha-1,6-mannosyltransferase
105372419	2.87e-06	6.24e-07	0.168	-4.98359	-0.839686	34.14	GEMIN7-AS1	GEMIN7 antisense RNA 1
3127	2.88e-06	6.26e-07	0.678	4.982989	3.378017	610.25	HLA-DRB5	major histocompatibility complex, class II, DR beta 5
4640	2.88e-06	6.27e-07	0.793	4.982721	3.949533	18.88	MYO1A	myosin IA
9554	2.89e-06	6.29e-07	0.229	-4.98201	-1.142648	1330.36	SEC22B	SEC22 homolog B, vesicle trafficking protein
57452	2.89e-06	6.29e-07	0.404	-4.981975	-2.013279	362.57	GALNT16	polypeptide N-acetylgalactosaminyltransferase 16
105375168	2.90e-06	6.31e-07	0.595	4.98137	2.964189	9.65	LOC105375168	uncharacterized LOC105375168
105375483	2.90e-06	6.32e-07	1.027	4.981229	5.117579	10.6	LOC105375483	uncharacterized LOC105375483
116937	2.91e-06	6.33e-07	0.311	-4.980812	-1.54823	7.66	SNORD83A	small nucleolar RNA, C/D box 83A
3770	2.91e-06	6.34e-07	0.275	4.980541	1.371859	48.83	KCNJ14	potassium inwardly rectifying channel subfamily J member 14
105378072	2.92e-06	6.35e-07	1.227	4.980363	6.112748	13.85	LOC105378072	uncharacterized LOC105378072
284018	2.92e-06	6.35e-07	0.192	-4.980202	-0.953996	129.68	C17orf58	chromosome 17 open reading frame 58
4004	2.92e-06	6.36e-07	0.593	4.980085	2.953176	69.79	LMO1	LIM domain only 1
105369827	2.92e-06	6.37e-07	0.877	4.979796	4.366302	5.35	LOC105369827	replaced by ID 105369828
3108	2.92e-06	6.37e-07	0.475	4.97976	2.363641	582.93	HLA-DMA	major histocompatibility complex, class II, DM alpha
100506388	2.92e-06	6.37e-07	0.814	4.979686	4.054105	6.64	RPH3AL-AS1	RPH3AL antisense RNA 1
6046	2.92e-06	6.37e-07	0.173	-4.979604	-0.860857	2538.6	BRD2	bromodomain containing 2
5196	2.93e-06	6.38e-07	0.998	4.979219	4.967428	10.55	PF4	platelet factor 4
197021	2.94e-06	6.42e-07	0.341	-4.978205	-1.69812	137.27	LCTL	lactase like
4760	2.95e-06	6.43e-07	0.802	4.97781	3.993155	52.65	NEUROD1	neuronal differentiation 1
51121	2.95e-06	6.43e-07	0.181	-4.977686	-0.902486	227.98	RPL26L1	ribosomal protein L26 like 1
114827	2.96e-06	6.45e-07	0.436	4.977355	2.171561	73.39	FHAD1	forkhead associated phosphopeptide binding domain 1
55818	2.96e-06	6.45e-07	0.228	4.977321	1.134916	1582.71	KDM3A	lysine demethylase 3A
11253	2.96e-06	6.45e-07	0.269	-4.977279	-1.340823	973.59	MAN1B1	mannosidase alpha class 1B member 1
196483	2.96e-06	6.45e-07	0.204	-4.977109	-1.014178	190.88	EEF2KMT	eukaryotic elongation factor 2 lysine methyltransferase
112267958	2.96e-06	6.46e-07	0.179	-4.976948	-0.893286	34.7	KLC4-AS1	KLC4 antisense RNA 1
9365	2.96e-06	6.46e-07	0.646	4.976851	3.21294	29.68	KL	klotho
10494	2.97e-06	6.48e-07	0.221	-4.976469	-1.101836	1088.35	STK25	serine/threonine kinase 25
6585	2.98e-06	6.50e-07	0.621	4.97571	3.091427	951.1	SLIT1	slit guidance ligand 1
107986664	2.98e-06	6.50e-07	0.871	4.975673	4.333916	7.88	LOC107986664	
259286	2.98e-06	6.51e-07	0.852	4.975328	4.238736	6.02	TAS2R40	taste 2 receptor member 40
105370154	2.99e-06	6.53e-07	0.708	4.974958	3.524612	7.25	LINC02344	long intergenic non-protein coding RNA 2344
332	2.99e-06	6.53e-07	0.426	-4.97481	-2.120028	572.4	BIRC5	baculoviral IAP repeat containing 5
54545	2.99e-06	6.54e-07	0.129	-4.974466	-0.642072	626.03	MTMR12	myotubularin related protein 12
105370783	3.00e-06	6.55e-07	0.604	4.974267	3.006421	37.69	LOC105370783	uncharacterized LOC105370783
55593	3.00e-06	6.57e-07	0.175	-4.973768	-0.868073	605.72	OTUD5	OTU deubiquitinase 5
105377473	3.01e-06	6.58e-07	0.845	4.973417	4.203901	18.78	LOC105377473	uncharacterized LOC105377473
101928217	3.01e-06	6.59e-07	1.075	4.973076	5.348282	12.73	LOC101928217	uncharacterized LOC101928217
90952	3.02e-06	6.61e-07	0.441	4.972372	2.19064	214.47	ESAM	endothelial cell adhesion molecule
11079	3.03e-06	6.62e-07	0.224	-4.972165	-1.116225	1154.45	RER1	retention in endoplasmic reticulum sorting receptor 1
284232	3.03e-06	6.64e-07	1.229	4.971706	6.109976	10.64	ANKRD20A9P	ankyrin repeat domain 20 family member A9, pseudogene
112267910	3.03e-06	6.64e-07	0.936	4.971717	4.652683	6.64	LOC112267910	NACHT, LRR and PYD domains-containing protein 10-like
2013	3.04e-06	6.65e-07	0.426	-4.97137	-2.118503	486.89	EMP2	epithelial membrane protein 2
10658	3.04e-06	6.66e-07	0.165	-4.971033	-0.82212	2626.06	CELF1	CUGBP Elav-like family member 1
79894	3.05e-06	6.67e-07	0.245	-4.970799	-1.217902	472.79	ZNF672	zinc finger protein 672
105377885	3.05e-06	6.67e-07	1.003	4.970624	4.985147	17.05	LOC105377885	uncharacterized LOC105377885
57512	3.06e-06	6.70e-07	0.55	4.969994	2.731588	504.46	GPR158	G protein-coupled receptor 158
401387	3.07e-06	6.72e-07	0.598	4.969335	2.970249	13.32	LRRD1	leucine rich repeats and death domain containing 1
2592	3.07e-06	6.72e-07	0.272	-4.969333	-1.351938	165.81	GALT	galactose-1-phosphate uridylyltransferase
7265	3.07e-06	6.72e-07	0.157	-4.969198	-0.781782	715.92	TTC1	tetratricopeptide repeat domain 1
133522	3.09e-06	6.77e-07	0.351	4.967738	1.745247	188.43	PPARGC1B	PPARG coactivator 1 beta
107986829	3.09e-06	6.78e-07	0.937	4.967665	4.656475	4.97	LOC107986829	uncharacterized LOC107986829
115416	3.09e-06	6.78e-07	0.219	-4.967569	-1.085892	383.24	MALSU1	mitochondrial assembly of ribosomal large subunit 1
107986806	3.09e-06	6.78e-07	1.142	4.967502	5.67173	13.13	LINC02848	long intergenic non-protein coding RNA 2848
105377446	3.11e-06	6.83e-07	0.832	4.966234	4.131058	15.13	LINC00498	long intergenic non-protein coding RNA 498
10477	3.11e-06	6.83e-07	0.221	-4.966082	-1.098304	885.34	UBE2E3	ubiquitin conjugating enzyme E2 E3
79098	3.12e-06	6.84e-07	0.806	4.965874	4.002008	13.59	C1orf116	chromosome 1 open reading frame 116
134701	3.12e-06	6.84e-07	0.622	4.965751	3.08859	12.11	RIPPLY2	ripply transcriptional repressor 2
105376871	3.12e-06	6.85e-07	0.788	4.965634	3.913407	15.61	GRHL3-AS1	GRHL3 antisense RNA 1
10096	3.12e-06	6.85e-07	0.274	-4.965581	-1.358924	3699.8	ACTR3	actin related protein 3
101410538	3.12e-06	6.86e-07	0.308	-4.965423	-1.529028	227.48	MMP24OS	MMP24 opposite strand
107985379	3.13e-06	6.87e-07	0.849	4.965036	4.215342	7.44	LOC107985379	uncharacterized LOC107985379
347517	3.13e-06	6.87e-07	0.208	4.965033	1.030579	53.93	RAB41	RAB41, member RAS oncogene family
10567	3.13e-06	6.88e-07	0.282	-4.964582	-1.400417	635.26	RABAC1	Rab acceptor 1
5195	3.18e-06	7.00e-07	0.144	-4.961488	-0.716457	245.43	PEX14	peroxisomal biogenesis factor 14
102724058	3.19e-06	7.00e-07	0.521	4.961352	2.584259	61.18	LOC102724058	uncharacterized LOC102724058
2289	3.19e-06	7.01e-07	0.422	4.961004	2.092076	2339.41	FKBP5	FKBP prolyl isomerase 5
57171	3.19e-06	7.01e-07	0.222	-4.960982	-1.100463	272.34	DOLPP1	dolichyldiphosphatase 1
105374940	3.19e-06	7.02e-07	0.667	4.960826	3.310054	9.87	LOC105374940	uncharacterized LOC105374940
1577	3.20e-06	7.04e-07	0.253	4.960216	1.254383	170.17	CYP3A5	cytochrome P450 family 3 subfamily A member 5
100130742	3.20e-06	7.04e-07	0.35	4.960166	1.735286	33.58	LRRC69	leucine rich repeat containing 69
284367	3.21e-06	7.06e-07	1.134	4.959729	5.623515	6.05	SIGLEC17P	sialic acid binding Ig like lectin 17, pseudogene
5324	3.21e-06	7.07e-07	0.421	-4.959538	-2.0899	168.56	PLAG1	PLAG1 zinc finger
105373737	3.22e-06	7.08e-07	0.591	4.959251	2.931698	11.94	LOC105373737	uncharacterized LOC105373737
64682	3.23e-06	7.10e-07	0.171	-4.958665	-0.846189	1079.18	ANAPC1	anaphase promoting complex subunit 1
8636	3.23e-06	7.11e-07	0.236	-4.958451	-1.170379	268.87	SSNA1	SS nuclear autoantigen 1
26073	3.23e-06	7.11e-07	0.205	-4.958456	-1.017307	1256.71	POLDIP2	DNA polymerase delta interacting protein 2
440040	3.24e-06	7.12e-07	1.028	4.957944	5.097704	19.54	GRM5P1	GRM5 pseudogene 1
100506775	3.24e-06	7.13e-07	0.975	4.957805	4.834753	9.03	LINC01353	long intergenic non-protein coding RNA 1353
10576	3.24e-06	7.14e-07	0.242	-4.957588	-1.197419	2495.89	CCT2	chaperonin containing TCP1 subunit 2
11231	3.24e-06	7.15e-07	0.181	4.957347	0.896991	967.9	SEC63	SEC63 homolog, protein translocation regulator
4994	3.27e-06	7.20e-07	0.843	4.955877	4.17599	14.54	OR3A1	olfactory receptor family 3 subfamily A member 1
101927117	3.27e-06	7.21e-07	0.173	4.955589	0.858716	190.95	PLCG1-AS1	PLCG1 antisense RNA 1
124925	3.28e-06	7.23e-07	0.591	4.955123	2.930644	625.46	SEZ6	seizure related 6 homolog
725	3.29e-06	7.25e-07	1.217	4.954572	6.031965	7.81	C4BPB	complement component 4 binding protein beta
105374942	3.29e-06	7.25e-07	0.885	4.954441	4.385305	13.28	LOC105374942	uncharacterized LOC105374942
101928555	3.29e-06	7.26e-07	1.027	4.954399	5.088551	6.86	LINC01537	long intergenic non-protein coding RNA 1537
107986816	3.29e-06	7.26e-07	0.83	4.954278	4.111966	10.69	LOC107986816	uncharacterized LOC107986816
6129	3.30e-06	7.27e-07	0.234	-4.953925	-1.156924	6929.34	RPL7	ribosomal protein L7
10612	3.30e-06	7.28e-07	0.206	-4.953871	-1.019121	224.34	TRIM3	tripartite motif containing 3
105370540	3.33e-06	7.34e-07	0.688	4.952194	3.407254	19.31	LINC02290	long intergenic non-protein coding RNA 2290
121665	3.33e-06	7.34e-07	0.177	4.952073	0.875461	567.89	SPPL3	signal peptide peptidase like 3
5939	3.33e-06	7.35e-07	0.238	-4.951779	-1.178405	825.57	RBMS2	RNA binding motif single stranded interacting protein 2
9687	3.35e-06	7.40e-07	0.485	-4.950677	-2.401329	554.1	GREB1	growth regulating estrogen receptor binding 1
169611	3.35e-06	7.40e-07	0.543	-4.950446	-2.68889	640.45	OLFML2A	olfactomedin like 2A
107986360	3.35e-06	7.41e-07	0.473	4.950358	2.34375	13.51	LOC107986360	
139105	3.36e-06	7.42e-07	1.154	4.950136	5.711756	6.3	BEND2	BEN domain containing 2
105369614	3.36e-06	7.43e-07	0.575	4.949738	2.843976	13.17	LOC105369614	
107985038	3.36e-06	7.43e-07	1.186	4.949737	5.869354	6.95	LOC107985038	uncharacterized LOC107985038
387841	3.36e-06	7.43e-07	0.266	-4.949691	-1.319059	38.29	RPL13AP20	ribosomal protein L13a pseudogene 20
107987249	3.37e-06	7.44e-07	0.465	4.949507	2.299767	27.08	LOC107987249	
692106	3.37e-06	7.45e-07	0.31	-4.949321	-1.533765	8.23	SNORD65	small nucleolar RNA, C/D box 65
5704	3.37e-06	7.45e-07	0.215	-4.949339	-1.066554	1220.74	PSMC4	proteasome 26S subunit, ATPase 4
105374528	3.37e-06	7.45e-07	0.921	4.949274	4.557302	10.18	LOC105374528	uncharacterized LOC105374528
150538	3.37e-06	7.45e-07	0.825	4.94917	4.082682	11.15	SATB2-AS1	SATB2 antisense RNA 1
105378715	3.37e-06	7.46e-07	0.346	4.949095	1.710268	53.2	FAF1-AS1	FAF1 antisense RNA 1
102724845	3.37e-06	7.46e-07	0.755	4.948859	3.734016	8.06	LINC00596	long intergenic non-protein coding RNA 596
79825	3.39e-06	7.50e-07	0.66	-4.947983	-3.26658	53.63	EFCC1	EF-hand and coiled-coil domain containing 1
138009	3.40e-06	7.52e-07	0.973	4.947517	4.815991	12.21	DCAF4L2	DDB1 and CUL4 associated factor 4 like 2
107986521	3.40e-06	7.52e-07	0.83	4.947327	4.107991	8.71	MFSD4B-DT	MFSD4B divergent transcript
7975	3.40e-06	7.53e-07	0.391	-4.947106	-1.932238	294.87	MAFK	MAF bZIP transcription factor K
653659	3.41e-06	7.55e-07	0.155	-4.946557	-0.767549	218.37	TMEM183BP	transmembrane protein 183B, pseudogene
54	3.41e-06	7.56e-07	0.466	4.946369	2.30467	64.22	ACP5	acid phosphatase 5, tartrate resistant
164714	3.42e-06	7.58e-07	1.294	4.945803	6.397885	12.96	TTLL8	tubulin tyrosine ligase like 8
118433	3.42e-06	7.59e-07	0.212	-4.945657	-1.046963	141.99	RPL23AP7	ribosomal protein L23a pseudogene 7
129881	3.44e-06	7.62e-07	0.357	4.944882	1.763692	70.93	CFAP210	cilia and flagella associated protein 210
6096	3.44e-06	7.63e-07	0.502	4.944681	2.484012	876.13	RORB	RAR related orphan receptor B
131890	3.44e-06	7.63e-07	0.807	4.944505	3.98876	19.13	GRK7	G protein-coupled receptor kinase 7
693153	3.44e-06	7.64e-07	0.39	4.944413	1.927287	25.53	MIR568	microRNA 568
10915	3.45e-06	7.66e-07	0.205	-4.943844	-1.014762	1085.56	TCERG1	transcription elongation regulator 1
9971	3.46e-06	7.67e-07	1.171	4.943588	5.790419	10.93	NR1H4	nuclear receptor subfamily 1 group H member 4
101929237	3.46e-06	7.67e-07	0.952	4.943543	4.703792	10.67	LOC101929237	uncharacterized LOC101929237
833	3.46e-06	7.68e-07	0.223	-4.943258	-1.104196	714.3	CARS1	cysteinyl-tRNA synthetase 1
3547	3.47e-06	7.70e-07	0.612	4.94278	3.02596	115.34	IGSF1	immunoglobulin superfamily member 1
55081	3.47e-06	7.71e-07	0.238	-4.942549	-1.176202	718.84	IFT57	intraflagellar transport 57
100533105	3.48e-06	7.72e-07	0.304	4.942403	1.502002	202.41	C8orf44-SGK3	C8orf44-SGK3 readthrough
400511	3.48e-06	7.72e-07	0.443	4.942331	2.190317	30.73	LINC01567	long intergenic non-protein coding RNA 1567
145694	3.49e-06	7.76e-07	0.456	-4.941389	-2.250877	66.19	KIF23-AS1	KIF23 and PAQR5 antisense RNA 1
105370513	3.49e-06	7.76e-07	0.982	4.941353	4.854862	9.12	LOC105370513	uncharacterized LOC105370513
112268455	3.50e-06	7.78e-07	0.431	4.940888	2.127739	16.39	LOC112268455	
105377684	3.50e-06	7.78e-07	0.749	4.940817	3.702037	15.69	LOC105377684	uncharacterized LOC105377684
10129	3.51e-06	7.80e-07	0.316	4.94037	1.5605	1257.87	FRY	FRY microtubule binding protein
7036	3.54e-06	7.86e-07	0.383	4.938801	1.891298	55.77	TFR2	transferrin receptor 2
105371018	3.54e-06	7.86e-07	0.588	4.938693	2.903514	14.18	LINC02244	long intergenic non-protein coding RNA 2244
57594	3.54e-06	7.87e-07	0.192	-4.938463	-0.947122	218.2	HOMEZ	homeobox and leucine zipper encoding
54900	3.56e-06	7.92e-07	0.677	4.937405	3.340634	18.17	LAX1	lymphocyte transmembrane adaptor 1
6202	3.56e-06	7.92e-07	0.259	-4.937368	-1.27928	5653.8	RPS8	ribosomal protein S8
1412	3.56e-06	7.92e-07	1.119	4.937242	5.524008	9.16	CRYBA2	crystallin beta A2
93654	3.56e-06	7.93e-07	0.229	4.937075	1.131037	99.83	ST7-AS2	ST7 antisense RNA 2
105375749	3.56e-06	7.93e-07	1.293	4.937102	6.383281	9.98	LOC105375749	
102723878	3.57e-06	7.95e-07	0.88	4.936622	4.342811	8.86	LOC102723878	uncharacterized LOC102723878
113000	3.58e-06	7.96e-07	0.253	-4.93627	-1.247803	215.9	RPUSD1	RNA pseudouridine synthase domain containing 1
399474	3.59e-06	7.98e-07	0.409	-4.935746	-2.019967	68.56	TMEM200B	transmembrane protein 200B
503693	3.60e-06	8.01e-07	0.268	4.935206	1.322137	41.43	LOH12CR2	loss of heterozygosity on chromosome 12, region 2
111	3.60e-06	8.02e-07	0.421	4.934996	2.077032	263.4	ADCY5	adenylate cyclase 5
132112	3.60e-06	8.02e-07	0.95	4.935001	4.686689	9.5	RTP1	receptor transporter protein 1
11035	3.60e-06	8.02e-07	0.507	4.934972	2.499859	36.01	RIPK3	receptor interacting serine/threonine kinase 3
101927830	3.60e-06	8.02e-07	0.184	4.934949	0.90999	22.32	LOC101927830	uncharacterized LOC101927830
84624	3.61e-06	8.04e-07	0.813	4.934358	4.010698	49.45	FNDC1	fibronectin type III domain containing 1
107984773	3.62e-06	8.07e-07	0.245	-4.933618	-1.208905	36.37	LINC01852	long intergenic non-protein coding RNA 1852
150209	3.63e-06	8.08e-07	0.615	4.933372	3.035348	107.67	AIFM3	apoptosis inducing factor mitochondria associated 3
115939	3.64e-06	8.12e-07	0.2	-4.93238	-0.985751	353.93	TSR3	TSR3 ribosome maturation factor
23463	3.64e-06	8.13e-07	0.318	-4.93233	-1.567905	1328.52	ICMT	isoprenylcysteine carboxyl methyltransferase
139886	3.65e-06	8.14e-07	0.28	-4.931999	-1.378825	154.6	SPIN4	spindlin family member 4
51204	3.66e-06	8.15e-07	0.158	-4.931642	-0.780006	185.73	TACO1	translational activator of cytochrome c oxidase I
6132	3.66e-06	8.18e-07	0.215	-4.931139	-1.061298	4786.97	RPL8	ribosomal protein L8
1586	3.67e-06	8.19e-07	0.746	4.930676	3.679418	11.22	CYP17A1	cytochrome P450 family 17 subfamily A member 1
170463	3.68e-06	8.22e-07	0.273	-4.930072	-1.343617	496.54	SSBP4	single stranded DNA binding protein 4
956	3.70e-06	8.25e-07	0.397	4.929341	1.957714	89.71	ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3
